Dia de Data Escala de Tempo 1 CE Simp 4;Data Escala de Tempo 1 CE Simp 4;Período Exibido CE Simp 4;Subsistema;Selecione Tipo de CE Simp 4
29 de agosto de 1999;29/08/1999 00:00:00;Dia;Sul;122,33592
30 de agosto de 1999;30/08/1999 00:00:00;Dia;Sul;159,30552
31 de agosto de 1999;31/08/1999 00:00:00;Dia;Sul;164,30496
1 de setembro de 1999;01/09/1999 00:00:00;Dia;Sul;167,31384
2 de setembro de 1999;02/09/1999 00:00:00;Dia;Sul;167,5764
3 de setembro de 1999;03/09/1999 00:00:00;Dia;Sul;167,0376
4 de setembro de 1999;04/09/1999 00:00:00;Dia;Sul;146,04144
5 de setembro de 1999;05/09/1999 00:00:00;Dia;Sul;121,6704
6 de setembro de 1999;06/09/1999 00:00:00;Dia;Sul;143,3028
7 de setembro de 1999;07/09/1999 00:00:00;Dia;Sul;129,4044
8 de setembro de 1999;08/09/1999 00:00:00;Dia;Sul;158,84376
9 de setembro de 1999;09/09/1999 00:00:00;Dia;Sul;159,90528
10 de setembro de 1999;10/09/1999 00:00:00;Dia;Sul;157,50192
11 de setembro de 1999;11/09/1999 00:00:00;Dia;Sul;138,924
12 de setembro de 1999;12/09/1999 00:00:00;Dia;Sul;116,92944
13 de setembro de 1999;13/09/1999 00:00:00;Dia;Sul;156,03024
14 de setembro de 1999;14/09/1999 00:00:00;Dia;Sul;163,8852
15 de setembro de 1999;15/09/1999 00:00:00;Dia;Sul;157,90488
16 de setembro de 1999;16/09/1999 00:00:00;Dia;Sul;156,44088
17 de setembro de 1999;17/09/1999 00:00:00;Dia;Sul;157,69824
18 de setembro de 1999;18/09/1999 00:00:00;Dia;Sul;140,40648
19 de setembro de 1999;19/09/1999 00:00:00;Dia;Sul;118,49328
20 de setembro de 1999;20/09/1999 00:00:00;Dia;Sul;143,3052
21 de setembro de 1999;21/09/1999 00:00:00;Dia;Sul;159,71712
22 de setembro de 1999;22/09/1999 00:00:00;Dia;Sul;160,73952
23 de setembro de 1999;23/09/1999 00:00:00;Dia;Sul;159,15888
24 de setembro de 1999;24/09/1999 00:00:00;Dia;Sul;159,69624
25 de setembro de 1999;25/09/1999 00:00:00;Dia;Sul;144,01032
26 de setembro de 1999;26/09/1999 00:00:00;Dia;Sul;118,12752
27 de setembro de 1999;27/09/1999 00:00:00;Dia;Sul;156,80808
28 de setembro de 1999;28/09/1999 00:00:00;Dia;Sul;164,58384
29 de setembro de 1999;29/09/1999 00:00:00;Dia;Sul;164,89032
30 de setembro de 1999;30/09/1999 00:00:00;Dia;Sul;162,84768
1 de outubro de 1999;01/10/1999 00:00:00;Dia;Sul;167,06328
2 de outubro de 1999;02/10/1999 00:00:00;Dia;Sul;145,48152
3 de outubro de 1999;03/10/1999 00:00:00;Dia;Sul;112,03512
4 de outubro de 1999;04/10/1999 00:00:00;Dia;Sul;150,48144
5 de outubro de 1999;05/10/1999 00:00:00;Dia;Sul;157,72608
6 de outubro de 1999;06/10/1999 00:00:00;Dia;Sul;160,78752
7 de outubro de 1999;07/10/1999 00:00:00;Dia;Sul;164,58408
8 de outubro de 1999;08/10/1999 00:00:00;Dia;Sul;160,52592
9 de outubro de 1999;09/10/1999 00:00:00;Dia;Sul;139,23552
10 de outubro de 1999;10/10/1999 00:00:00;Dia;Sul;114,70488
11 de outubro de 1999;11/10/1999 00:00:00;Dia;Sul;139,85808
12 de outubro de 1999;12/10/1999 00:00:00;Dia;Sul;122,52576
13 de outubro de 1999;13/10/1999 00:00:00;Dia;Sul;158,16624
14 de outubro de 1999;14/10/1999 00:00:00;Dia;Sul;164,0568
15 de outubro de 1999;15/10/1999 00:00:00;Dia;Sul;165,0528
16 de outubro de 1999;16/10/1999 00:00:00;Dia;Sul;147,27648
17 de outubro de 1999;17/10/1999 00:00:00;Dia;Sul;120,26808
18 de outubro de 1999;18/10/1999 00:00:00;Dia;Sul;154,5576
19 de outubro de 1999;19/10/1999 00:00:00;Dia;Sul;160,308
20 de outubro de 1999;20/10/1999 00:00:00;Dia;Sul;160,2036
21 de outubro de 1999;21/10/1999 00:00:00;Dia;Sul;164,20056
22 de outubro de 1999;22/10/1999 00:00:00;Dia;Sul;162,74424
23 de outubro de 1999;23/10/1999 00:00:00;Dia;Sul;143,42856
24 de outubro de 1999;24/10/1999 00:00:00;Dia;Sul;119,92608
25 de outubro de 1999;25/10/1999 00:00:00;Dia;Sul;156,2352
26 de outubro de 1999;26/10/1999 00:00:00;Dia;Sul;160,9116
27 de outubro de 1999;27/10/1999 00:00:00;Dia;Sul;163,46232
28 de outubro de 1999;28/10/1999 00:00:00;Dia;Sul;164,85912
29 de outubro de 1999;29/10/1999 00:00:00;Dia;Sul;167,32104
30 de outubro de 1999;30/10/1999 00:00:00;Dia;Sul;145,8024
31 de outubro de 1999;31/10/1999 00:00:00;Dia;Sul;120,23568
1 de novembro de 1999;01/11/1999 00:00:00;Dia;Sul;143,89224
2 de novembro de 1999;02/11/1999 00:00:00;Dia;Sul;123,9132
3 de novembro de 1999;03/11/1999 00:00:00;Dia;Sul;160,28568
4 de novembro de 1999;04/11/1999 00:00:00;Dia;Sul;166,02336
5 de novembro de 1999;05/11/1999 00:00:00;Dia;Sul;162,20928
6 de novembro de 1999;06/11/1999 00:00:00;Dia;Sul;142,39152
7 de novembro de 1999;07/11/1999 00:00:00;Dia;Sul;94,22496
8 de novembro de 1999;08/11/1999 00:00:00;Dia;Sul;132,29448
9 de novembro de 1999;09/11/1999 00:00:00;Dia;Sul;160,08576
10 de novembro de 1999;10/11/1999 00:00:00;Dia;Sul;159,47976
11 de novembro de 1999;11/11/1999 00:00:00;Dia;Sul;161,45472
12 de novembro de 1999;12/11/1999 00:00:00;Dia;Sul;165,582
13 de novembro de 1999;13/11/1999 00:00:00;Dia;Sul;145,53528
14 de novembro de 1999;14/11/1999 00:00:00;Dia;Sul;120,25464
15 de novembro de 1999;15/11/1999 00:00:00;Dia;Sul;123,84768
16 de novembro de 1999;16/11/1999 00:00:00;Dia;Sul;160,21344
17 de novembro de 1999;17/11/1999 00:00:00;Dia;Sul;164,27448
18 de novembro de 1999;18/11/1999 00:00:00;Dia;Sul;167,44824
19 de novembro de 1999;19/11/1999 00:00:00;Dia;Sul;169,93656
20 de novembro de 1999;20/11/1999 00:00:00;Dia;Sul;151,65552
21 de novembro de 1999;21/11/1999 00:00:00;Dia;Sul;126,12792
22 de novembro de 1999;22/11/1999 00:00:00;Dia;Sul;165,59928
23 de novembro de 1999;23/11/1999 00:00:00;Dia;Sul;170,1972
24 de novembro de 1999;24/11/1999 00:00:00;Dia;Sul;168,24312
25 de novembro de 1999;25/11/1999 00:00:00;Dia;Sul;170,61456
26 de novembro de 1999;26/11/1999 00:00:00;Dia;Sul;170,65512
27 de novembro de 1999;27/11/1999 00:00:00;Dia;Sul;152,01072
28 de novembro de 1999;28/11/1999 00:00:00;Dia;Sul;126,34296
29 de novembro de 1999;29/11/1999 00:00:00;Dia;Sul;166,41264
30 de novembro de 1999;30/11/1999 00:00:00;Dia;Sul;173,73576
1 de dezembro de 1999;01/12/1999 00:00:00;Dia;Sul;175,51488
2 de dezembro de 1999;02/12/1999 00:00:00;Dia;Sul;177,9624
3 de dezembro de 1999;03/12/1999 00:00:00;Dia;Sul;177,83328
4 de dezembro de 1999;04/12/1999 00:00:00;Dia;Sul;155,3556
5 de dezembro de 1999;05/12/1999 00:00:00;Dia;Sul;136,17048
6 de dezembro de 1999;06/12/1999 00:00:00;Dia;Sul;167,14704
7 de dezembro de 1999;07/12/1999 00:00:00;Dia;Sul;170,34528
8 de dezembro de 1999;08/12/1999 00:00:00;Dia;Sul;169,95384
9 de dezembro de 1999;09/12/1999 00:00:00;Dia;Sul;172,14936
10 de dezembro de 1999;10/12/1999 00:00:00;Dia;Sul;172,98648
11 de dezembro de 1999;11/12/1999 00:00:00;Dia;Sul;153,12696
12 de dezembro de 1999;12/12/1999 00:00:00;Dia;Sul;128,2608
13 de dezembro de 1999;13/12/1999 00:00:00;Dia;Sul;166,9272
14 de dezembro de 1999;14/12/1999 00:00:00;Dia;Sul;171,15096
15 de dezembro de 1999;15/12/1999 00:00:00;Dia;Sul;171,79344
16 de dezembro de 1999;16/12/1999 00:00:00;Dia;Sul;173,33016
17 de dezembro de 1999;17/12/1999 00:00:00;Dia;Sul;175,68192
18 de dezembro de 1999;18/12/1999 00:00:00;Dia;Sul;156,92664
19 de dezembro de 1999;19/12/1999 00:00:00;Dia;Sul;137,33328
20 de dezembro de 1999;20/12/1999 00:00:00;Dia;Sul;171,69072
21 de dezembro de 1999;21/12/1999 00:00:00;Dia;Sul;175,03296
22 de dezembro de 1999;22/12/1999 00:00:00;Dia;Sul;172,74216
23 de dezembro de 1999;23/12/1999 00:00:00;Dia;Sul;164,04528
24 de dezembro de 1999;24/12/1999 00:00:00;Dia;Sul;143,73456
25 de dezembro de 1999;25/12/1999 00:00:00;Dia;Sul;121,89336
26 de dezembro de 1999;26/12/1999 00:00:00;Dia;Sul;127,45536
27 de dezembro de 1999;27/12/1999 00:00:00;Dia;Sul;165,08856
28 de dezembro de 1999;28/12/1999 00:00:00;Dia;Sul;167,46792
29 de dezembro de 1999;29/12/1999 00:00:00;Dia;Sul;163,092
30 de dezembro de 1999;30/12/1999 00:00:00;Dia;Sul;161,3232
31 de dezembro de 1999;31/12/1999 00:00:00;Dia;Sul;141,07368
1 de janeiro de 2000;01/01/2000 00:00:00;Dia;Sul;115,2156
2 de janeiro de 2000;02/01/2000 00:00:00;Dia;Sul;117,5952
3 de janeiro de 2000;03/01/2000 00:00:00;Dia;Sul;150,2773
4 de janeiro de 2000;04/01/2000 00:00:00;Dia;Sul;161,6098
5 de janeiro de 2000;05/01/2000 00:00:00;Dia;Sul;167,0681
6 de janeiro de 2000;06/01/2000 00:00:00;Dia;Sul;170,6487
